omega,ReK,ImK,absK,phaseK
0.0,0.7,0.0,0.7,0.0
0.0125,0.699982500437489,0.003499912502187446,0.699991250164059,0.004999958333958324
0.025,0.6999300069993,0.006999300069993003,0.6999650026247811,0.009999666686665243
0.037500000000000006,0.6998425354295283,0.010497638031442926,0.6999212632865712,0.014998875151850598
0.05,0.699720111955218,0.01399440223910436,0.6998600419860049,0.019997333973150535
0.0625,0.6995627732667082,0.017489069331667703,0.699781352485686,0.024994793618920156
0.07500000000000001,0.6993705664901588,0.02098111699470477,0.6996852124656566,0.029991004856877907
0.08750000000000001,0.6991435491522884,0.02447002422033009,0.6995716435123724,0.03498571882852575
0.1,0.69888178913738,0.02795527156549521,0.6994406711052524,0.03997868712329006
0.1125,0.6985853646366108,0.03143634140864749,0.6992923246008264,0.04496966185232759
0.125,0.6982543640897757,0.03491271820448879,0.6991266372144914,0.049958395721942765
0.1375,0.6978888861194884,0.038383888736571864,0.698943645999906,0.054944642106561366
0.15000000000000002,0.6974890394579513,0.04184934236747709,0.698743391826045,0.0599281551212079
0.1625,0.6970549428663896,0.04530857128631531,0.6985259193519399,0.06490868969343344
0.17500000000000002,0.6965867250472684,0.0487610707533088,0.6982912769991387,0.06988600163464252
0.1875,0.6960845245494095,0.05220633934120571,0.6980395169219193,0.07485984771076686
0.2,0.6955484896661368,0.05564387917329095,0.6977706949752877,0.07982998571223733
0.21250000000000002,0.6949787783265903,0.059073196157760195,0.6974848706808007,0.08479617452320302
0.225,0.6943755579803591,0.062493800218232344,0.6971821071902602,0.08975817418995057
0.23750000000000002,0.6937390054755828,0.06590520552018037,0.6968624712473099,0.09471574598847579
0.25,0.693069306930693,0.0693069306930693,0.6965260331469922,0.09966865249116202
0.2625,0.6923666575999604,0.07269849904799583,0.6961728666933037,0.10461665763251969
0.275,0.6916312617330302,0.07607943879063332,0.695803049154803,0.10955952677394434
0.28750000000000003,0.6908633324286313,0.07944928322929261,0.6954166612183246,0.11449702676745016
0.30000000000000004,0.6900630914826499,0.08280757097791798,0.6950137869408455,0.11942892601833845
0.3125,0.6892307692307691,0.08615384615384614,0.6945945136995672,0.12435499454676144
