omega,k,ReG,ImG
0.0,0.0,0.25,0.0
0.01,0.0,0.24999400013774684,0.0012499712506599849
0.02,0.0,0.24997600220379762,0.0024997700211180605
0.03,0.0,0.2499460111554452,0.003749223910346871
0.04,0.0,0.24990403525105218,0.004998160675591853
0.05,0.0,0.24985008604436817,0.006246408311316988
0.06,0.0,0.2497841783765839,0.007493795127922123
0.07,0.0,0.24970633036613246,0.008740149830156314
0.08,0.0,0.24961656339625124,0.00998530159515214
0.09,0.0,0.24951490210031982,0.011229080150006543
0.1,0.0,0.2494013743449928,0.012471315848834524
0.11,0.0,0.24927601121114928,0.013711839749222868
0.12,0.0,0.24913884697268338,0.014950483688012075
0.13,0.0,0.24898991907316154,0.01618708035633572
0.14,0.0,0.2488292681003783,0.017421463373847756
0.15,0.0,0.24865693775884054,0.018653467362069506
0.16,0.0,0.24847297484021594,0.019882928016789574
0.17,0.0,0.24827742919178306,0.021109682179451424
0.18,0.0,0.24807035368292144,0.022333567907464946
0.19,0.0,0.24785180416968414,0.023554424543380154
0.2,0.0,0.24762183945749672,0.02477209278286282
0.21,0.0,0.24738052126202809,0.025986414741413912
0.22,0.0,0.24712791416828203,0.027197234019776594
0.23,0.0,0.24686408558795872,0.028404395767976515
0.24,0.0,0.2465891057151387,0.029607746747943458
0.25,0.0,0.24630304748034215,0.030807135394664432
0.26,0.0,0.24600598650301936,0.03200241187582058
0.27,0.0,0.24569800104252854,0.0331934281498626
0.28,0.0,0.2453791719476595,0.03438003802248196
0.29,0.0,0.24504958260476223,0.035562097201436924
0.3,0.0,0.2447093188845417,0.03673946334969598
0.31,0.0,0.24435846908757952,0.03791199613686235
0.32,0.0,0.24399712388864642,0.039079557288847204
0.33,0.0,0.2436253762798683,0.04024201063576061
0.34,0.0,0.2432433215128101,0.04139922215799236
0.35000000000000003,0.0,0.2428510570395434,0.042551060030457416
0.36,0.0,0.24244868245276185,0.04369739466498295
0.37,0.0,0.24203629942501168,0.044838098750817026
0.38,0.0,0.2416140116471026,0.045973047293240935
0.39,0.0,0.241181924765766,0.047102117650270434
0.4,0.0,0.24074014632062637,0.04822518956743317
0.41000000000000003,0.0,0.24028878568055345,0.049342145210612504
0.42,0.0,0.23982795397946025,0.050452869196950065
0.43,0.0,0.23935776405161394,0.051557248623802406
0.44,0.0,0.23887833036652487,0.052655173095748846
0.45,0.0,0.2383897689634796,0.05374653474965096
0.46,0.0,0.23789219738578224,0.05483122827776567
0.47000000000000003,0.0,0.23738573461476856,0.05590915094891677
0.48,0.0,0.23687050100365678,0.05698020262773192
0.49,0.0,0.23634661821129654,0.058044285791954135
0.5,0.0,0.2358142091358798,0.059101305547839544
0.51,0.0,0.23527339784867246,0.06015116964365462
0.52,0.0,0.2347243095278282,0.06119378848128873
0.53,0.0,0.2341670703923422,0.062229075125999615
0.54,0.0,0.23360180763620314,0.06325694531431139
0.55,0.0,0.23302864936279874,0.06427731746008643
0.56,0.0,0.23244772451963105,0.06529011265879468
0.5700000000000001,0.0,0.23185916283339422,0.06629525469000518
0.58,0.0,0.23126309474546708,0.06729267001812643
0.59,0.0,0.2306596513478718,0.06828228779142413
0.6,0.0,0.23004896431974733,0.06926403983934584
0.61,0.0,0.2294311658643853,0.07023786066818383
0.62,0.0,0.22880638864687491,0.07120368745510866
0.63,0.0,0.2281747657324006,0.07216146004060736
0.64,0.0,0.22753643052523578,0.07311112091936116
0.65,0.0,0.22689151670847363,0.07405261522959898
0.66,0.0,0.22624015818453377,0.07498589074096379
0.67,0.0,0.22558248901648345,0.0759108978409299
0.68,0.0,0.22491864337020828,0.07682758951981042
0.6900000000000001,0.0,0.22424875545746695,0.07773592135439437
0.7000000000000001,0.0,0.2235729594798624,0.07863585149025408
0.71,0.0,0.22289138957376003,0.07952734062276416
0.72,0.0,0.22220417975618156,0.08041035197687346
0.73,0.0,0.22151146387170187,0.08128485128567253
0.74,0.0,0.22081337554037359,0.08215080676779869
0.75,0.0,0.22011004810670423,0.08300818910372253
0.76,0.0,0.21940161458970608,0.083856971410958
0.77,0.0,0.2186882076340397,0.08469712921824024
0.78,0.0,0.21796995946226985,0.08552864043871439
0.79,0.0,0.21724700182824938,0.08635148534217905
0.8,0.0,0.2165194659716473,0.08716564652642807
0.81,0.0,0.21578748257363334,0.08797110888773393
