h,chi_exact,chi_observed
-0.85,-0.2667282280995685,-0.26665040669640283
-0.8429166666666666,-0.2625002366235253,-0.26254623726624077
-0.8358333333333333,-0.2584334054111694,-0.258466430467051
-0.82875,-0.25450922995864367,-0.25445097607599176
-0.8216666666666667,-0.25071244744974225,-0.25075508711674727
-0.8145833333333333,-0.2470302938612926,-0.247011768437808
-0.8075,-0.24345196650954357,-0.24352435356050914
-0.8004166666666667,-0.239968226605261,-0.24003104801049868
-0.7933333333333333,-0.2365710996723072,-0.2365915828505151
-0.78625,-0.2332536459027081,-0.23324550031054953
-0.7791666666666667,-0.23000978147665127,-0.2300681887301556
-0.7720833333333333,-0.22683413767287294,-0.2268403702362305
-0.765,-0.22372194843947515,-0.22367048138901344
-0.7579166666666667,-0.22066895970071154,-0.22070148616741087
-0.7508333333333334,-0.21767135547571467,-0.21765196389235694
-0.74375,-0.21472569715130396,-0.21471270430556164
-0.7366666666666667,-0.21182887315578058,-0.2118098764338732
-0.7295833333333334,-0.20897805693660695,-0.2089357371040475
-0.7224999999999999,-0.20617067162688174,-0.20619890406244457
-0.7154166666666666,-0.203404360144061,-0.2034624870963977
-0.7083333333333333,-0.20067695973411018,-0.2006092525317777
-0.7012499999999999,-0.19798648017933307,-0.1979535765507212
-0.6941666666666666,-0.19533108504553942,-0.19531242409730742
-0.6870833333333333,-0.19270907546615584,-0.1927352727715311
-0.6799999999999999,-0.19011887605615047,-0.19006886939592038
-0.6729166666666666,-0.1875590226236516,-0.18758140906507004
-0.6658333333333333,-0.18502815140664922,-0.18504233052758376
-0.65875,-0.18252498960970262,-0.1825238422475903
-0.6516666666666666,-0.18004834705379827,-0.18005398446242069
-0.6445833333333333,-0.1775971087834278,-0.17758631615280326
-0.6375,-0.17517022850011976,-0.17512969101309678
-0.6304166666666666,-0.17276672271225474,-0.17277807269758552
-0.6233333333333333,-0.17038566550793122,-0.1704147317775436
-0.61625,-0.1680261838716569,-0.1680107294962905
-0.6091666666666666,-0.1656874534772701,-0.1656818202082409
-0.6020833333333333,-0.16336869489920355,-0.16340803156318193
-0.595,-0.16106917019233333,-0.16110393708668688
-0.5879166666666666,-0.15878817979750023,-0.1588569983644218
-0.5808333333333333,-0.15652505973556827,-0.15650485915055143
-0.57375,-0.15427917905778496,-0.15426023600850755
-0.5666666666666667,-0.15204993752437826,-0.15202095685995026
-0.5595833333333333,-0.149836763486881,-0.14982327861833666
-0.5525,-0.14763911195272428,-0.1475895885328465
-0.5454166666666667,-0.1454564628132593,-0.14543426085212377
-0.5383333333333333,-0.1432883192186233,-0.143294388571249
-0.53125,-0.14113420608481805,-0.1411364341947335
-0.5241666666666667,-0.1389936687200574,-0.13894096568218198
-0.5170833333333333,-0.1368662715589123,-0.13685117435466862
-0.51,-0.13475159699405925,-0.13475313421913623
-0.5029166666666667,-0.13264924429655817,-0.1326621424692629
-0.49583333333333335,-0.13055882861656362,-0.1305254889563868
-0.48875,-0.1284799800572322,-0.1285020741558983
-0.4816666666666667,-0.1264123428153454,-0.126379263108541
-0.47458333333333336,-0.1243555743828318,-0.12435151896969071
-0.46749999999999997,-0.12230934480396201,-0.12228548707085099
-0.46041666666666664,-0.12027333598350945,-0.12027310893897117
-0.4533333333333333,-0.11824724104163188,-0.1182951735756358
-0.44625,-0.11623076371163914,-0.11624265684638123
-0.43916666666666665,-0.11422361777717677,-0.11422851900044954
-0.4320833333333333,-0.11222552654568183,-0.11224491160626236
-0.425,-0.11023622235525657,-0.11022404139227217
-0.41791666666666666,-0.10825544611236704,-0.10828741392493554
-0.41083333333333333,-0.10628294685800593,-0.1062735359869077
-0.40375,-0.10431848136016832,-0.10433443555630627
-0.39666666666666667,-0.10236181373067743,-0.10238622103859985
-0.38958333333333334,-0.1004127150645663,-0.10041390017343421
-0.3825,-0.098470963100374,-0.09849841168691338
-0.3754166666666667,-0.09653634189985323,-0.09657433851867774
-0.36833333333333335,-0.09460864154570983,-0.09465870239948546
-0.36125,-0.09268765785610855,-0.09267183087550032
-0.3541666666666667,-0.09077319211478044,-0.09078550969857932
-0.3470833333333333,-0.08886505081566107,-0.08884439802140977
-0.33999999999999997,-0.0869630454210723,-0.08698021124296702
-0.33291666666666664,-0.08506699213253685,-0.08507156430976194
-0.3258333333333333,-0.08317671167338571,-0.08318382341845781
-0.31875,-0.08129202908238067,-0.08127662282700618
-0.31166666666666665,-0.07941277351763357,-0.07943047120503637
-0.3045833333333333,-0.0775387780701559,-0.07751711503522316
-0.2975,-0.07566987958642167,-0.07566850375533601
-0.29041666666666666,-0.07380591849937046,-0.07382285300158026
-0.2833333333333333,-0.07194673866731827,-0.07194375302124878
-0.27625,-0.0700921872202814,-0.07008452662578964
-0.26916666666666667,-0.06824211441325236,-0.06824862726188685
-0.26208333333333333,-0.06639637348599871,-0.06638568141880542
-0.255,-0.0645548205289846,-0.06459265128026795
-0.24791666666666667,-0.06271731435504102,-0.06273783435920044
-0.24083333333333334,-0.060883716376435734,-0.060893900351132305
-0.23375,-0.05905389048701635,-0.059041164515935836
-0.22666666666666668,-0.05722770294912056,-0.05723300631557447
-0.21958333333333335,-0.05540502228496702,-0.0553946721960381
-0.21250000000000002,-0.05358571917225815,-0.05359159766085657
-0.2054166666666667,-0.051769666343742186,-0.05176682587575984
-0.19833333333333336,-0.04995673849049732,-0.049965742747409114
-0.19125000000000003,-0.04814681216871445,-0.04814012244176729
-0.1841666666666667,-0.046339765709768256,-0.04632707726155755
-0.17708333333333337,-0.044535479133378096,-0.04453223034080798
-0.17000000000000004,-0.04273383406367131,-0.04271393677306046
-0.1629166666666667,-0.040934713647971965,-0.040937846385075236
-0.15583333333333338,-0.03913800247814719,-0.03914545783117757
-0.14875000000000005,-0.03734358651435235,-0.037355940036355784
-0.14166666666666672,-0.03555135301102438,-0.035540892713903906
-0.1345833333333334,-0.033761190444979765,-0.033762815029495075
-0.12750000000000006,-0.03197298844548109,-0.031966273204672054
-0.12041666666666673,-0.030186637726142135,-0.030182141804491875
-0.1133333333333334,-0.028402030018547474,-0.02840031713601488
-0.10625000000000007,-0.026619058007468156,-0.026621435597237557
-0.09916666666666674,-0.024837615267559798,-0.0248376751401554
-0.0920833333333333,-0.023057596201434244,-0.023060011795142315
-0.08499999999999996,-0.021278895979000238,-0.021282473097748167
-0.07791666666666663,-0.019501410477971912,-0.019504270470819957
-0.0708333333333333,-0.017725036225448368,-0.01772007770786505
-0.06374999999999997,-0.0159496703404699,-0.015945229938368433
-0.05666666666666664,-0.014175210477459926,-0.014179628797841747
-0.04958333333333331,-0.012401554770463985,-0.01239951331030856
-0.04249999999999998,-0.0106286017780998,-0.010628029462612792
-0.03541666666666665,-0.008856250429134176,-0.008855940538989228
-0.02833333333333332,-0.007084399968604561,-0.007084716338529452
-0.02124999999999999,-0.005312949904404545,-0.005312794185561355
-0.01416666666666666,-0.0035417999542539844,-0.003542318105193366
-0.00708333333333333,-0.0017708499929755016,-0.001771062895948223
0.0,0.0,0.0
0.00708333333333333,0.0017708499929755016,0.001770582117207361
0.01416666666666666,0.0035417999542539844,0.0035422698877020666
0.02124999999999999,0.005312949904404545,0.005310989895094348
0.02833333333333332,0.007084399968604561,0.007082580195088013
0.03541666666666665,0.008856250429134176,0.008858444786606069
0.04249999999999998,0.0106286017780998,0.010627596632923317
0.04958333333333331,0.012401554770463985,0.012398157978881207
0.05666666666666664,0.014175210477459926,0.014176847763520078
0.06374999999999997,0.0159496703404699,0.01595325995045463
0.0708333333333333,0.017725036225448368,0.017722037564338034
0.07791666666666663,0.019501410477971912,0.019502700409211
0.08499999999999996,0.021278895979000238,0.021282849391078756
0.0920833333333333,0.023057596201434244,0.023049616841118215
0.09916666666666663,0.02483761526755977,0.024836359567998928
0.10624999999999996,0.026619058007468128,0.02662054880229601
0.11333333333333329,0.028402030018547443,0.028408120926385345
0.12041666666666662,0.030186637726142107,0.030191663659717573
0.12749999999999995,0.03197298844548106,0.03197514701206067
0.13458333333333328,0.03376119044497974,0.03376808376988851
0.1416666666666666,0.03555135301102435,0.035550613799692606
0.14874999999999994,0.03734358651435232,0.03733707385979181
0.15583333333333338,0.03913800247814719,0.03913456003269839
0.1629166666666667,0.040934713647971965,0.04093706844944537
0.17000000000000004,0.04273383406367131,0.04272261535843579
0.17708333333333337,0.044535479133378096,0.0445309949815079
0.1841666666666667,0.046339765709768256,0.04633760412029212
0.19125000000000003,0.04814681216871445,0.048155311970217336
0.19833333333333336,0.04995673849049732,0.0499484324957143
0.2054166666666667,0.051769666343742186,0.051780761786181094
0.21250000000000002,0.05358571917225815,0.05359060367733732
0.21958333333333335,0.05540502228496702,0.05541110706066912
0.22666666666666668,0.05722770294912056,0.0572470842271809
0.23375,0.05905389048701635,0.05904622869796472
0.24083333333333334,0.060883716376435734,0.06086323047066402
0.24791666666666667,0.06271731435504102,0.06271184245190417
0.255,0.0645548205289846,0.0645610611425269
0.26208333333333333,0.06639637348599871,0.06640571610856227
0.26916666666666667,0.06824211441325236,0.06825012298847936
0.27625,0.0700921872202814,0.07010572757485777
0.2833333333333333,0.07194673866731827,0.07193766674715775
0.29041666666666666,0.07380591849937046,0.07381730774485395
0.2975,0.07566987958642167,0.07565754668721207
0.3045833333333333,0.0775387780701559,0.07756465098524684
0.31166666666666665,0.07941277351763357,0.0793919702320667
0.31875,0.08129202908238067,0.0812885308660015
0.3258333333333333,0.08317671167338571,0.08319308977191942
0.33291666666666664,0.08506699213253685,0.0850892975402162
0.33999999999999997,0.0869630454210723,0.08698333596701234
0.3470833333333333,0.08886505081566107,0.08884665738876574
0.35416666666666663,0.09077319211478042,0.09074075540082645
0.36124999999999996,0.09268765785610854,0.09264529321500488
0.3683333333333333,0.09460864154570982,0.09462896327000492
0.3754166666666666,0.09653634189985322,0.09652936712785737
0.38249999999999995,0.09847096310037398,0.0985091379060999
0.3895833333333333,0.10041271506456628,0.10041689018535034
0.3966666666666666,0.10236181373067742,0.10238812220956922
0.40374999999999994,0.1043184813601683,0.10430508563441158
0.4108333333333333,0.10628294685800592,0.1063104510399764
0.4179166666666666,0.10825544611236702,0.10824057620283711
0.42499999999999993,0.11023622235525656,0.11026549497710939
0.43208333333333326,0.11222552654568181,0.11223257458675952
0.4391666666666666,0.11422361777717675,0.11424679598857362
0.4462499999999999,0.11623076371163912,0.11623708262206084
0.45333333333333325,0.11824724104163187,0.11823470623859518
0.4604166666666666,0.12027333598350944,0.12026874669373169
0.4674999999999999,0.12230934480396198,0.12231118987438476
0.47458333333333325,0.12435557438283176,0.12433751449394394
0.4816666666666666,0.12641234281534539,0.1264134930523575
0.4887499999999999,0.12847998005723218,0.12848296883623986
0.49583333333333324,0.1305588286165636,0.13055327931541758
0.5029166666666666,0.13264924429655814,0.13267412197254694
0.5099999999999999,0.1347515969940592,0.13474824685654607
0.5170833333333332,0.13686627155891226,0.13685082109244628
0.5241666666666666,0.13899366872005736,0.13901592020712564
0.5312499999999999,0.14113420608481803,0.14117004979398148
0.5383333333333332,0.14328831921862328,0.14329876107427864
0.5454166666666665,0.14545646281325925,0.14544668796054822
0.5524999999999999,0.14763911195272425,0.14765259934735295
0.5595833333333332,0.14983676348688094,0.1498788961009051
0.5666666666666665,0.15204993752437823,0.15205764983907596
0.5737499999999999,0.15427917905778493,0.1542747619038945
0.5808333333333332,0.15652505973556824,0.15646775315610834
0.5879166666666665,0.1587881797975002,0.1587601383585611
0.5949999999999999,0.16106917019233327,0.1610960984599633
0.6020833333333332,0.1633686948992035,0.16337079964601353
0.6091666666666665,0.16568745347727007,0.16568328654566317
0.6162499999999999,0.16802618387165685,0.16799503211654387
0.6233333333333332,0.1703856655079312,0.17041570371164333
0.6304166666666665,0.1727667227122547,0.17274305871338977
0.6374999999999998,0.17517022850011973,0.17521323013600046
0.6445833333333332,0.17759710878342774,0.17763722153850323
0.6516666666666665,0.1800483470537982,0.18003287077926655
0.6587499999999998,0.18252498960970256,0.1824974580160806
0.6658333333333334,0.18502815140664927,0.1849297844427794
0.6729166666666667,0.18755902262365165,0.18760228889792457
0.68,0.19011887605615052,0.19015782377425272
0.6870833333333334,0.19270907546615587,0.19278061479523526
0.6941666666666667,0.19533108504553945,0.19534141367846677
0.70125,0.1979864801793331,0.19801918618873965
0.7083333333333334,0.2006769597341102,0.20067599694228153
0.7154166666666667,0.20340436014406105,0.203435742161392
0.7225,0.20617067162688177,0.206161454482338
0.7295833333333334,0.20897805693660695,0.20900003729494182
0.7366666666666667,0.21182887315578058,0.2118017329379465
0.74375,0.21472569715130396,0.21474907773343332
0.7508333333333334,0.21767135547571467,0.2176898328547373
0.7579166666666667,0.22066895970071154,0.22064893452441972
0.765,0.22372194843947515,0.22372180277747106
0.7720833333333333,0.22683413767287294,0.22676492164260048
0.7791666666666667,0.23000978147665127,0.23009762364763023
0.78625,0.2332536459027081,0.2331864275725862
0.7933333333333333,0.2365710996723072,0.23654948215690863
0.8004166666666667,0.239968226605261,0.23991247417922315
0.8075,0.24345196650954357,0.24343135988794778
0.8145833333333333,0.2470302938612926,0.2471028862001893
0.8216666666666667,0.25071244744974225,0.25072707930840726
0.82875,0.25450922995864367,0.25456057568367146
0.8358333333333333,0.2584334054111694,0.2583377478546988
0.8429166666666666,0.2625002366235253,0.26235688599754864
0.85,0.2667282280995685,0.2667132583027805
