alpha_odd_loop,beta_even_loop,r_eff,u_eff,r_coex,r_daughter_spinodal,class
0.0,0.0,4.0,-72.0,3.375,4.5,daughter_metastable
0.2,0.0,3.8,-72.0,3.375,4.5,daughter_metastable
0.4,0.0,3.6,-72.0,3.375,4.5,daughter_metastable
0.6,0.0,3.4,-72.0,3.375,4.5,daughter_metastable
0.8,0.0,3.2,-72.0,3.375,4.5,daughter_global_parent_metastable
1.0,0.0,3.0,-72.0,3.375,4.5,daughter_global_parent_metastable
1.2,0.0,2.8,-72.0,3.375,4.5,daughter_global_parent_metastable
1.4000000000000001,0.0,2.5999999999999996,-72.0,3.375,4.5,daughter_global_parent_metastable
1.6,0.0,2.4,-72.0,3.375,4.5,daughter_global_parent_metastable
1.8,0.0,2.2,-72.0,3.375,4.5,daughter_global_parent_metastable
2.0,0.0,2.0,-72.0,3.375,4.5,daughter_global_parent_metastable
2.2,0.0,1.7999999999999998,-72.0,3.375,4.5,daughter_global_parent_metastable
2.4,0.0,1.6,-72.0,3.375,4.5,daughter_global_parent_metastable
2.6,0.0,1.4,-72.0,3.375,4.5,daughter_global_parent_metastable
2.8000000000000003,0.0,1.1999999999999997,-72.0,3.375,4.5,daughter_global_parent_metastable
3.0,0.0,1.0,-72.0,3.375,4.5,daughter_global_parent_metastable
3.2,0.0,0.7999999999999998,-72.0,3.375,4.5,daughter_global_parent_metastable
3.4,0.0,0.6000000000000001,-72.0,3.375,4.5,daughter_global_parent_metastable
3.6,0.0,0.3999999999999999,-72.0,3.375,4.5,daughter_global_parent_metastable
3.8000000000000003,0.0,0.19999999999999973,-72.0,3.375,4.5,daughter_global_parent_metastable
4.0,0.0,0.0,-72.0,3.375,4.5,parent_unstable
4.2,0.0,-0.20000000000000018,-72.0,3.375,4.5,parent_unstable
4.4,0.0,-0.40000000000000036,-72.0,3.375,4.5,parent_unstable
0.0,0.5,4.0,-72.5,3.4220377604166665,4.562717013888889,daughter_metastable
0.2,0.5,3.8,-72.5,3.4220377604166665,4.562717013888889,daughter_metastable
0.4,0.5,3.6,-72.5,3.4220377604166665,4.562717013888889,daughter_metastable
0.6,0.5,3.4,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
0.8,0.5,3.2,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
1.0,0.5,3.0,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
1.2,0.5,2.8,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
1.4000000000000001,0.5,2.5999999999999996,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
1.6,0.5,2.4,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
1.8,0.5,2.2,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
2.0,0.5,2.0,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
2.2,0.5,1.7999999999999998,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
2.4,0.5,1.6,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
2.6,0.5,1.4,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
2.8000000000000003,0.5,1.1999999999999997,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
3.0,0.5,1.0,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
3.2,0.5,0.7999999999999998,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
3.4,0.5,0.6000000000000001,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
3.6,0.5,0.3999999999999999,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
3.8000000000000003,0.5,0.19999999999999973,-72.5,3.4220377604166665,4.562717013888889,daughter_global_parent_metastable
4.0,0.5,0.0,-72.5,3.4220377604166665,4.562717013888889,parent_unstable
4.2,0.5,-0.20000000000000018,-72.5,3.4220377604166665,4.562717013888889,parent_unstable
4.4,0.5,-0.40000000000000036,-72.5,3.4220377604166665,4.562717013888889,parent_unstable
0.0,1.0,4.0,-73.0,3.4694010416666665,4.625868055555555,daughter_metastable
0.2,1.0,3.8,-73.0,3.4694010416666665,4.625868055555555,daughter_metastable
0.4,1.0,3.6,-73.0,3.4694010416666665,4.625868055555555,daughter_metastable
0.6,1.0,3.4,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
0.8,1.0,3.2,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
1.0,1.0,3.0,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
1.2,1.0,2.8,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
1.4000000000000001,1.0,2.5999999999999996,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
1.6,1.0,2.4,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
1.8,1.0,2.2,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
2.0,1.0,2.0,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
2.2,1.0,1.7999999999999998,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
2.4,1.0,1.6,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
2.6,1.0,1.4,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
2.8000000000000003,1.0,1.1999999999999997,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
3.0,1.0,1.0,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
3.2,1.0,0.7999999999999998,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
3.4,1.0,0.6000000000000001,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
3.6,1.0,0.3999999999999999,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
3.8000000000000003,1.0,0.19999999999999973,-73.0,3.4694010416666665,4.625868055555555,daughter_global_parent_metastable
4.0,1.0,0.0,-73.0,3.4694010416666665,4.625868055555555,parent_unstable
4.2,1.0,-0.20000000000000018,-73.0,3.4694010416666665,4.625868055555555,parent_unstable
4.4,1.0,-0.40000000000000036,-73.0,3.4694010416666665,4.625868055555555,parent_unstable
0.0,1.5,4.0,-73.5,3.51708984375,4.689453125,daughter_metastable
0.2,1.5,3.8,-73.5,3.51708984375,4.689453125,daughter_metastable
0.4,1.5,3.6,-73.5,3.51708984375,4.689453125,daughter_metastable
0.6,1.5,3.4,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
0.8,1.5,3.2,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
1.0,1.5,3.0,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
1.2,1.5,2.8,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
1.4000000000000001,1.5,2.5999999999999996,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
1.6,1.5,2.4,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
1.8,1.5,2.2,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
2.0,1.5,2.0,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
2.2,1.5,1.7999999999999998,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
2.4,1.5,1.6,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
2.6,1.5,1.4,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
2.8000000000000003,1.5,1.1999999999999997,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
3.0,1.5,1.0,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
3.2,1.5,0.7999999999999998,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
3.4,1.5,0.6000000000000001,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
3.6,1.5,0.3999999999999999,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
3.8000000000000003,1.5,0.19999999999999973,-73.5,3.51708984375,4.689453125,daughter_global_parent_metastable
4.0,1.5,0.0,-73.5,3.51708984375,4.689453125,parent_unstable
4.2,1.5,-0.20000000000000018,-73.5,3.51708984375,4.689453125,parent_unstable
4.4,1.5,-0.40000000000000036,-73.5,3.51708984375,4.689453125,parent_unstable
0.0,2.0,4.0,-74.0,3.5651041666666665,4.753472222222222,daughter_metastable
0.2,2.0,3.8,-74.0,3.5651041666666665,4.753472222222222,daughter_metastable
0.4,2.0,3.6,-74.0,3.5651041666666665,4.753472222222222,daughter_metastable
0.6,2.0,3.4,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
0.8,2.0,3.2,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
1.0,2.0,3.0,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
1.2,2.0,2.8,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
1.4000000000000001,2.0,2.5999999999999996,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
1.6,2.0,2.4,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
1.8,2.0,2.2,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
2.0,2.0,2.0,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
2.2,2.0,1.7999999999999998,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
2.4,2.0,1.6,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
2.6,2.0,1.4,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
2.8000000000000003,2.0,1.1999999999999997,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
3.0,2.0,1.0,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
3.2,2.0,0.7999999999999998,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
3.4,2.0,0.6000000000000001,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
3.6,2.0,0.3999999999999999,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
3.8000000000000003,2.0,0.19999999999999973,-74.0,3.5651041666666665,4.753472222222222,daughter_global_parent_metastable
4.0,2.0,0.0,-74.0,3.5651041666666665,4.753472222222222,parent_unstable
4.2,2.0,-0.20000000000000018,-74.0,3.5651041666666665,4.753472222222222,parent_unstable
4.4,2.0,-0.40000000000000036,-74.0,3.5651041666666665,4.753472222222222,parent_unstable
0.0,2.5,4.0,-74.5,3.6134440104166665,4.817925347222222,daughter_metastable
0.2,2.5,3.8,-74.5,3.6134440104166665,4.817925347222222,daughter_metastable
0.4,2.5,3.6,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
0.6,2.5,3.4,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
0.8,2.5,3.2,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
1.0,2.5,3.0,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
1.2,2.5,2.8,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
1.4000000000000001,2.5,2.5999999999999996,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
1.6,2.5,2.4,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
1.8,2.5,2.2,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
2.0,2.5,2.0,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
2.2,2.5,1.7999999999999998,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
2.4,2.5,1.6,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
2.6,2.5,1.4,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
2.8000000000000003,2.5,1.1999999999999997,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
3.0,2.5,1.0,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
3.2,2.5,0.7999999999999998,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
3.4,2.5,0.6000000000000001,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
3.6,2.5,0.3999999999999999,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
3.8000000000000003,2.5,0.19999999999999973,-74.5,3.6134440104166665,4.817925347222222,daughter_global_parent_metastable
4.0,2.5,0.0,-74.5,3.6134440104166665,4.817925347222222,parent_unstable
4.2,2.5,-0.20000000000000018,-74.5,3.6134440104166665,4.817925347222222,parent_unstable
4.4,2.5,-0.40000000000000036,-74.5,3.6134440104166665,4.817925347222222,parent_unstable
0.0,3.0,4.0,-75.0,3.662109375,4.8828125,daughter_metastable
0.2,3.0,3.8,-75.0,3.662109375,4.8828125,daughter_metastable
0.4,3.0,3.6,-75.0,3.662109375,4.8828125,daughter_global_parent_metastable
