seed,strength,passive_gaussian_fraction,explicit_repulsive_fraction,passive_energy,repulsive_energy
11,0.0,0.315,0.315,-0.06799860545012733,-0.06799860545012733
11,0.02,0.32,0.305,-0.0690045743748636,-0.06704220002896916
11,0.04,0.32,0.2975,-0.0700285743748636,-0.06613435738620078
11,0.06,0.325,0.2925,-0.0710716240948327,-0.065269544044614
11,0.08,0.3275,0.2825,-0.07214274576521112,-0.06443963838943859
11,0.1,0.3375,0.2775,-0.07326626700076547,-0.06365574674197988
11,0.12,0.3375,0.27,-0.07440532950076546,-0.06291050881202846
11,0.14,0.3475,0.265,-0.07558370670402799,-0.062200689825079515
11,0.16,0.3525,0.26,-0.07680529684393445,-0.06150708537588522
11,0.18,0.3575,0.2575,-0.07806746108832449,-0.060843509741529904
11,0.2,0.37,0.2475,-0.07937121391087519,-0.060210668447044556
11,0.22,0.39,0.2425,-0.08084505747760355,-0.05961213138763172
11,0.24,0.4,0.2375,-0.08241009956126896,-0.05903127401750611
11,0.26,0.415,0.235,-0.08405633625458887,-0.05847542614538327
11,0.28,0.44,0.235,-0.08588189335707425,-0.05792317614538327
11,0.3,0.445,0.2325,-0.08784394732642922,-0.05737883168508092
11,0.32,0.4675,0.23,-0.08995142150456469,-0.05684172825281983
11,0.34,0.4825,0.225,-0.09218435477456798,-0.05632016096724634
11,0.36,0.49,0.225,-0.09456734870393312,-0.05581391096724634
11,0.38,0.495,0.22,-0.09699443292303694,-0.05531886248006893
11,0.4,0.5125,0.2175,-0.09951190033034762,-0.05484186738434205
11,0.42,0.5425,0.2175,-0.1023046691695319,-0.05436880488434205
11,0.44,0.565,0.215,-0.10533853743330548,-0.053905825399617094
11,0.46,0.65,0.21,-0.1091501077559436,-0.05346110208335124
11,0.48,0.6925,0.205,-0.11382055761369114,-0.053030830848307745
11,0.5,0.7725,0.205,-0.11964902231033891,-0.05261058084830775
11,0.52,0.795,0.2025,-0.12582576366637105,-0.05219690135819862
11,0.54,0.8225,0.1975,-0.1323382378942559,-0.05179422801470218
11,0.56,0.835,0.195,-0.13917716149608603,-0.05141125330347319
11,0.58,0.8525,0.19,-0.1462959088224296,-0.05104216550011162
11,0.6,0.8725,0.185,-0.15378536291523773,-0.05068661526382941
11,0.62,0.885,0.1825,-0.1615591510423504,-0.050348825691494334
11,0.64,0.8875,0.18,-0.16940456576390084,-0.05001861629327678
11,0.66,0.9075,0.1775,-0.17739842578540854,-0.049697194586032375
11,0.68,0.9275,0.175,-0.18585417461355647,-0.04938689082916669
11,0.7000000000000001,0.9325,0.175,-0.19450168745836713,-0.04908064082916669
11,0.72,0.9325,0.175,-0.2031972499583671,-0.04877439082916669
11,0.74,0.94,0.1725,-0.21195121948409806,-0.04847212359533742
11,0.76,0.955,0.1725,-0.22097701478659265,-0.04817456109533742
11,0.78,0.96,0.1725,-0.23014239249997887,-0.04787699859533742
11,0.8,0.965,0.1675,-0.23942273087850377,-0.047585313040151345
11,0.8200000000000001,0.975,0.1675,-0.24884306369965636,-0.04730475054015135
11,0.84,0.975,0.1625,-0.25834931369965636,-0.047033046761800736
11,0.86,0.9775,0.1625,-0.2678883924201606,-0.04676898426180073
11,0.88,0.985,0.16,-0.27749339886867913,-0.04650811950581402
11,0.9,0.985,0.16,-0.2871956488686791,-0.046252119505814024
