transfer_shape,R_L_hinv_Mpc,sigma_R_z0,S_R_z0,phiC_z0,phiV_z0,phiD_z0,z_phiV_half_benchmark
BBKS-Sugiyama,8,0.811,0.657721,0.000164564746486,0.651199010235,0.348636425018,0.581731883886
BBKS-Sugiyama,8.83912787,0.756912708556,0.572916848373,0.000114834877066,0.617510812349,0.382374352773,0.445221150634
BBKS-Sugiyama,10,0.692918355093,0.480135846825,6.73874823922e-05,0.574078237868,0.425854374649,0.275849750179
BBKS-Sugiyama,11.1962286,0.63716747407,0.405982390012,3.72385196105e-05,0.532078900711,0.46788386077,0.11797179403
BBKS-Sugiyama,12,0.604313083366,0.365194302727,2.43580421582e-05,0.504992395648,0.494983246309,0.0182743632767
BBKS-Sugiyama,15,0.505576530725,0.25560762842,4.09727699513e-06,0.409495196529,0.590500706194,
EH98-zero-baryon,8,0.811,0.657721,0.000164564746486,0.651199010235,0.348636425018,0.581731883886
EH98-zero-baryon,8.83912787,0.752350587002,0.566031405763,0.0001110213508,0.614553940462,0.385335038187,0.433463569618
EH98-zero-baryon,10,0.683429466911,0.467075836243,6.15064923903e-05,0.567237457534,0.432701035973,0.249781973457
EH98-zero-baryon,11.1962286,0.623849239177,0.389187873222,3.15931373394e-05,0.521332312152,0.478636094711,0.0782758086453
EH98-zero-baryon,12,0.588960633497,0.346874627809,1.95110867538e-05,0.491631800668,0.508348688245,
EH98-zero-baryon,15,0.485237984144,0.235455901256,2.47904053439e-06,0.38660557017,0.613391950789,
