transfer_shape,R_L_hinv_Mpc,sigma_R_z0,S_R_z0,phiV_spherical_prototype_z0
BBKS-Sugiyama,1,2.37983146037,5.66359777975,0.810753533056
BBKS-Sugiyama,2,1.76975605064,3.13203647879,0.536123355016
BBKS-Sugiyama,3,1.45114375723,2.10581820415,0.305487597456
BBKS-Sugiyama,5,1.09371800448,1.19621907333,0.0698521155841
BBKS-Sugiyama,8,0.811,0.657721,0.00418079320378
BBKS-Sugiyama,10,0.692918355093,0.480135846825,0.000447232228887
BBKS-Sugiyama,15,0.505576530725,0.25560762842,3.85237105004e-07
BBKS-Sugiyama,20,0.394037713915,0.155265719987,2.68798343806e-11
EH98-zero-baryon,1,2.60573450405,6.7898523056,0.866515337059
EH98-zero-baryon,2,1.89040783599,3.57364178638,0.608536682139
EH98-zero-baryon,3,1.52491323476,2.32536037354,0.362208150196
EH98-zero-baryon,5,1.12238350693,1.25974473663,0.0833048178048
EH98-zero-baryon,8,0.811,0.657721,0.00418079320378
EH98-zero-baryon,10,0.683429466911,0.467075836243,0.000355822516532
EH98-zero-baryon,15,0.485237984144,0.235455901256,1.07655400609e-07
EH98-zero-baryon,20,0.370485574817,0.137259561147,1.11966587085e-12
