branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
overdense,0.03,1.00013501,0.999954998,0.999887502,0.00013499595
overdense,0.0549176589,1.00045251,0.999849175,0.99962303,0.000452346911
overdense,0.0798353178,1.00095659,0.999681195,0.999203396,0.000955848596
overdense,0.104752977,1.00164757,0.999450982,0.998628665,0.00164537597
overdense,0.129670636,1.00252591,0.999158434,0.997898927,0.00252075779
overdense,0.154588294,1.00359219,0.998803421,0.997014294,0.00358177671
overdense,0.179505953,1.00484711,0.998385786,0.995974905,0.00482816927
overdense,0.204423612,1.00629149,0.997905342,0.994780919,0.00625962602
overdense,0.229341271,1.0079263,0.997361875,0.993432524,0.00787579161
overdense,0.25425893,1.00975261,0.996755144,0.991929927,0.00967626486
overdense,0.279176589,1.01177163,0.996084877,0.990273363,0.0116605989
overdense,0.304094248,1.01398471,0.995350774,0.988463088,0.0138283013
overdense,0.329011907,1.01639331,0.994552507,0.986499383,0.0161788342
overdense,0.353929566,1.01899904,0.993689718,0.984382554,0.0187116145
overdense,0.378847224,1.02180365,0.992762018,0.982112928,0.021426014
overdense,0.403764883,1.02480902,0.99176899,0.979690858,0.0243213595
overdense,0.428682542,1.02801717,0.990710187,0.97711672,0.0273969331
overdense,0.453600201,1.03143026,0.989585128,0.974390914,0.0306519725
overdense,0.47851786,1.03505061,0.988393304,0.971513862,0.034085671
overdense,0.503435519,1.03888067,0.987134172,0.968486012,0.0376971779
overdense,0.528353178,1.04292307,0.985807159,0.965307833,0.0414855985
overdense,0.553270837,1.04718057,0.984411659,0.961979818,0.0454499947
overdense,0.578188496,1.0516561,0.98294703,0.958502484,0.0495893851
overdense,0.603106154,1.05635275,0.981412601,0.954876371,0.0539027454
overdense,0.628023813,1.06127378,0.979807661,0.951102042,0.0583890083
overdense,0.652941472,1.06642262,0.978131469,0.947180083,0.0630470643
overdense,0.677859131,1.07180289,0.976383246,0.943111101,0.0678757617
overdense,0.70277679,1.07741837,0.974562175,0.93889573,0.0728739074
overdense,0.727694449,1.08327304,0.972667405,0.934534623,0.0780402663
overdense,0.752612108,1.08937106,0.970698045,0.930028457,0.0833735628
overdense,0.777529767,1.09571682,0.968653165,0.925377931,0.0888724802
overdense,0.802447426,1.10231487,0.966531797,0.920583768,0.0945356619
overdense,0.827365084,1.10917,0.964332931,0.915646712,0.100361711
overdense,0.852282743,1.11628721,0.962055515,0.910567528,0.106349191
overdense,0.877200402,1.12367172,0.959698456,0.905347006,0.112496628
overdense,0.902118061,1.131329,0.957260616,0.899985956,0.118802506
overdense,0.92703572,1.13926472,0.954740812,0.894485209,0.125265275
overdense,0.951953379,1.14748484,0.952137817,0.88884562,0.131883343
overdense,0.976871038,1.15599556,0.949450356,0.883068064,0.138655084
overdense,1.0017887,1.16480334,0.946677104,0.877153438,0.145578833
overdense,1.02670636,1.17391493,0.943816689,0.871102659,0.152652891
overdense,1.05162401,1.18333735,0.940867686,0.864916668,0.15987552
overdense,1.07654167,1.19307793,0.937828618,0.858596424,0.167244949
overdense,1.10145933,1.2031443,0.934697956,0.852142908,0.174759372
overdense,1.12637699,1.21354441,0.931474112,0.845557122,0.182416948
overdense,1.15129465,1.22428655,0.928155445,0.838840089,0.190215802
overdense,1.17621231,1.23537934,0.924740251,0.83199285,0.198154026
overdense,1.20112997,1.24683177,0.921226768,0.825016469,0.20622968
overdense,1.22604763,1.25865321,0.917613171,0.817912029,0.21444079
overdense,1.25096529,1.27085339,0.913897571,0.810680632,0.222785354
overdense,1.27588294,1.28344247,0.910078012,0.803323401,0.231261335
overdense,1.3008006,1.29643103,0.90615247,0.795841478,0.239866667
overdense,1.32571826,1.30983007,0.90211885,0.788236023,0.248599257
overdense,1.35063592,1.32365107,0.897974985,0.780508219,0.257456978
overdense,1.37555358,1.33790597,0.893718632,0.772659264,0.266437679
overdense,1.40047124,1.35260721,0.889347469,0.764690376,0.275539177
overdense,1.4253889,1.36776775,0.884859097,0.756602792,0.284759265
overdense,1.45030656,1.3834011,0.88025103,0.748397769,0.294095708
overdense,1.47522422,1.39952131,0.8755207,0.740076579,0.303546246
overdense,1.50014187,1.41614306,0.870665447,0.731640513,0.31310859
overdense,1.52505953,1.4332816,0.86568252,0.723090883,0.322780432
