seed,persistence_rms,sigma8_check,n_basins,coarse_rms,volfrac_gamma_ge_1,volfrac_finite_size_active,n_gamma_ge_1,n_finite_size_active,median_R_all_hMpc,median_R_active_hMpc,median_gamma_active
11,0.0,0.811,1586,0.777725611568,0.053537109375,0.028466796875,67,31,12.3876577991,13.333207913,1.34405728819
11,0.05,0.811,1291,0.777725611568,0.04244140625,0.024275390625,47,22,13.362479594,15.2132002146,1.31657503201
11,0.1,0.811,1104,0.777725611568,0.0291484375,0.014029296875,29,13,14.1086312818,15.6714365792,1.323095414
11,0.2,0.811,840,0.777725611568,0.0177265625,0.00994140625,15,7,15.5375757843,18.3820499841,1.29497287569
23,0.0,0.811,1658,0.777168303963,0.04859765625,0.0293671875,86,47,12.1006753354,11.6090613715,1.5735627503
23,0.05,0.811,1337,0.777168303963,0.0395234375,0.023111328125,60,34,13.09426344,11.8084020951,1.568869737
23,0.1,0.811,1159,0.777168303963,0.0368203125,0.0166015625,48,26,13.9630466784,11.8084020951,1.568869737
23,0.2,0.811,901,0.777168303963,0.029296875,0.014591796875,28,17,15.0642525358,14.6020825478,1.39292048797
47,0.0,0.811,1562,0.776973383385,0.03142578125,0.018271484375,48,27,12.6456292208,12.3364685466,1.49734665381
47,0.05,0.811,1337,0.776973383385,0.0283984375,0.0128125,41,22,13.3185237514,11.7235188245,1.4885471359
47,0.1,0.811,1158,0.776973383385,0.021091796875,0.009494140625,28,14,14.0030556268,12.0679381153,1.45672434582
47,0.2,0.811,871,0.776973383385,0.00954296875,0.006685546875,11,7,15.4670499762,13.3185237514,1.32932043174
91,0.0,0.811,1630,0.777029347198,0.033478515625,0.0169765625,51,26,12.2414962777,11.9506450692,1.43135314037
91,0.05,0.811,1350,0.777029347198,0.0304609375,0.01496875,38,17,13.010073678,12.2153453252,1.46118599902
91,0.1,0.811,1143,0.777029347198,0.024341796875,0.00875390625,25,9,13.8143485292,13.2890578946,1.46451993356
91,0.2,0.811,864,0.777029347198,0.01380078125,0.006869140625,8,3,15.2178038123,19.8644410396,1.28514311866
