seed,persistence_rms,D,n_basins,coarse_rms,trace_error,volume_closure,single_stream_volume_fraction,kinematic_upper_bound_volume_fraction,instantaneous_active_volume_fraction,absorbing_active_volume_fraction,n_instantaneous_active,n_ever_active,median_gamma_active,median_R_active_hMpc,median_density_ratio_all,median_Hratio_all
11,0.0,0.25,1586,0.7777256115681918,1.7763568394002505e-15,1.0000000000018854,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0186328660053432,0.9927262082130044
11,0.0,0.5,1586,0.7777256115681918,1.7763568394002505e-15,1.0000000000037474,1.0,0.0,0.0,0.0,0,0,nan,nan,1.04417974598965,0.9800910698382528
11,0.0,0.75,1586,0.7777256115681918,1.7763568394002505e-15,0.9999999999998936,0.8865059725526258,0.008525307749023782,0.008525307749023782,0.008525307749023782,6,6,1.1719273851542031,18.33185500284522,1.0792628517222325,0.9617838420753113
11,0.0,1.0,1586,0.7777256115681918,1.7763568394002505e-15,0.9999999999846327,0.3009551110192513,0.08721793487888432,0.030339792355622047,0.03669171598333042,25,29,1.4077512271748907,15.390687602381627,1.1278286346659967,0.9386282343975453
11,0.1,0.25,1104,0.7777256115681918,1.7763568394002505e-15,1.0000000000018854,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0156579504875458,0.99401203520238
11,0.1,0.5,1104,0.7777256115681918,1.7763568394002505e-15,1.0000000000037474,1.0,0.0,0.0,0.0,0,0,nan,nan,1.036632728396435,0.9831051332126338
11,0.1,0.75,1104,0.7777256115681918,1.7763568394002505e-15,0.9999999999998936,0.8508256906049292,0.005537499421692182,0.005537499421692182,0.005537499421692182,3,3,1.2093833659744537,18.474116850751553,1.0692836742711003,0.9667544145006883
11,0.1,1.0,1104,0.7777256115681918,1.7763568394002505e-15,0.9999999999846327,0.22269997894729568,0.04789052210835641,0.017429413420030765,0.02203848906389068,11,13,1.4077512271748907,19.293635626843834,1.1095071202712754,0.9470559668631153
11,0.2,0.25,840,0.7777256115681918,1.7763568394002505e-15,1.0000000000018854,1.0,0.0,0.0,0.0,0,0,nan,nan,1.015297211928552,0.9941277909606664
11,0.2,0.5,840,0.7777256115681918,1.7763568394002505e-15,1.0000000000037472,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0358344090305596,0.9835793971617424
11,0.2,0.75,840,0.7777256115681918,1.7763568394002505e-15,0.9999999999998938,0.8131463501622577,0.0035182061480865177,0.0035182061480865177,0.0035182061480865177,1,1,1.1459498541918434,24.153729036198847,1.0664216463808747,0.9691355535760983
11,0.2,1.0,840,0.7777256115681918,1.7763568394002505e-15,0.9999999999846328,0.1731754054234822,0.022695083965816668,0.013187782321164784,0.017260966113827186,6,7,1.3331188431562413,21.39375704356244,1.1053356847075222,0.95171003397442
23,0.0,0.25,1658,0.7771683039633946,1.7763568394002505e-15,1.0000000000038327,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0229757006979698,0.9913367177772765
23,0.0,0.5,1658,0.7771683039633946,1.7763568394002505e-15,1.0000000000194516,1.0,0.0014101039819508104,0.0014101039819508104,0.0014101039819508104,2,2,1.3089890279662726,13.896652524568655,1.0535658067779012,0.9778920418594161
23,0.0,0.75,1658,0.7771683039633946,1.7763568394002505e-15,1.0000000000530374,0.8661621840860851,0.02593157402535396,0.02593157402535396,0.02593157402535396,26,26,1.5165496407087182,13.627801540093806,1.0930137659587995,0.9608608963934295
23,0.0,1.0,1658,0.7771683039633946,1.7763568394002505e-15,1.0000015803502171,0.29636361525269606,0.07406568783888848,0.038907146366108696,0.04848476029993002,43,48,1.6595663079870002,13.571219294641184,1.1437074300161314,0.9382286498371544
23,0.1,0.25,1159,0.7771683039633946,1.7763568394002505e-15,1.0000000000038327,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0199066448077418,0.9927320129094441
23,0.1,0.5,1159,0.7771683039633946,1.7763568394002505e-15,1.0000000000194516,1.0,0.0014101039819508104,0.0014101039819508104,0.0014101039819508104,2,2,1.3089890279662726,13.896652524568655,1.0447971076096214,0.982094955095592
23,0.1,0.75,1159,0.7771683039633946,1.7763568394002505e-15,1.0000000000530371,0.8339218278810642,0.016951394960043012,0.016951394960043012,0.016951394960043012,15,15,1.476872161191619,14.488232884684573,1.0748416162881034,0.96688166236898
23,0.1,1.0,1159,0.7771683039633946,1.7763568394002505e-15,1.0000000001107707,0.23170808350375693,0.056495686827860665,0.02785742251403369,0.03355747718931121,25,28,1.6445937840861364,14.081707017685842,1.1146472801176643,0.9461319991084463
23,0.2,0.25,901,0.7771683039633946,1.7763568394002505e-15,1.0000000000038327,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0205927946224382,0.9926322050262323
23,0.2,0.5,901,0.7771683039633946,1.7763568394002505e-15,1.0000000000194516,1.0,0.0026589722959459014,0.0026589722959459014,0.0026589722959459014,1,1,1.183976347392131,22.001301186909753,1.0455492576243746,0.9820864531325996
23,0.2,0.75,901,0.7771683039633946,1.7763568394002505e-15,1.0000000000530374,0.8075562801667924,0.009257176108529639,0.009257176108529639,0.009257176108529639,7,7,1.3272211467952006,14.488232884684573,1.0749722078037314,0.9674116553981531
23,0.2,1.0,901,0.7771683039633946,1.7763568394002505e-15,1.0000000001107707,0.16993356313832625,0.04749559034955083,0.019055110799038953,0.023074788112210254,15,16,1.444375058244931,13.958298800935182,1.1160827686613999,0.949097027949452
47,0.0,0.25,1562,0.7769733833850085,1.5543122344752192e-15,1.0000000000041571,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0190796105177213,0.9925846647148093
47,0.0,0.5,1562,0.7769733833850085,1.5543122344752192e-15,1.0000000000219182,1.0,0.0,0.0,0.0,0,0,nan,nan,1.045503174761111,0.9808406445747047
47,0.0,0.75,1562,0.7769733833850085,1.5543122344752192e-15,1.0000000000612175,0.864121758644335,0.019124877237302267,0.01461089091024284,0.01461089091024284,13,13,1.4317037996103426,14.481835161050165,1.0794803724460853,0.9646117595008721
47,0.0,1.0,1562,0.7769733833850085,1.5543122344752192e-15,1.000003073690994,0.2593293464538923,0.050403092930012855,0.028304549130638276,0.032747934442407554,25,27,1.583093733651486,15.306473757462067,1.1204694351440057,0.9441623854069934
47,0.1,0.25,1158,0.7769733833850085,1.5543122344752192e-15,1.0000000000041571,1.0,0.0,0.0,0.0,0,0,nan,nan,1.01329779054515,0.9947689209763035
